,Mobile_name,Colour,Price,Rating,No_of_Ratings,RAM,ROM,Screen_size,Rear_Camera,Front_camera,Battery(mAh),Processor,Brand
1340,Samsung Galaxy A21s ,Black,16999,4.2,4727,6 ,128,16.51,48,13MP,5000,Exynos 850 Octa Core ,Samsung
1341,Samsung Galaxy A6 ,Blue,16990,4.4,672,4 ,64,14.22,16,16MP,3000,,Samsung
1342,Samsung Galaxy A6 ,Black,16990,4.4,672,4 ,64,14.22,16,16MP,3000,,Samsung
1343,Samsung Galaxy M31 ,Ocean Blue,16759,4.3,4114,6 ,64,16.26,64,32MP,6000,Samsung Exynos 9 Octa 9611 ,Samsung
1344,Samsung Galaxy M21 ,Midnight Blue,16690,4.3,785,6 ,128,16.26,48,20MP,6000, Exynos 9611-Octa Core processor ,Samsung
1345,Samsung Galaxy M30S ,Blue,16659,4.3,3845,4 ,128,16.26,48,16MP,6000,,Samsung
1346,Samsung Galaxy F41 ,Fusion Blue,16499,4.3,105,6 ,128,16.26,64,32MP,6000,Exynos Octa Core ,Samsung
1347,Samsung Galaxy F41 ,Fusion Green,16499,4.3,105,6 ,128,16.26,64,32MP,6000,Exynos Octa Core ,Samsung
1348,Samsung Galaxy F41 ,Fusion Black,16499,4.3,105,6 ,128,16.26,64,32MP,6000,Exynos Octa Core ,Samsung
1349,Samsung Galaxy M31 ,Space Black,16482,4.3,4114,6 ,64,16.26,64,32MP,6000,Samsung Exynos 9 Octa 9611 ,Samsung
1350,Samsung Galaxy M21 ,Raven Black,16479,4.3,785,6 ,128,16.26,48,20MP,6000, Exynos 9611-Octa Core processor ,Samsung
